Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.1i (M49, M59)",HDZ/HFX (TU1M/TU1JP),1124,44,60,10/96 → 03/10
"1.4 BiFuel (M49, M59)",KFW (TU3JP),1360,55,75,07/96 → 10/02
"1.4i (M49, M59)",KFX (TU3JP),1360,55,75,10/96 → 03/10
1.4i BiValent (M59),TU3JP,1360,48,65,11/02 → 03/10
1.4i BiValent (M59),TU3JP,1360,55,75,04/03 → 03/10
"1.6 16V (M49, M59)",NFU (TU5JP4),1587,80,109,10/00 → 12/11
1.6 HDI 92,"DV6DTEDM, DV6DTED",1560,68,92,11/09 → 12/10
1.6 HDi 75 (M59),DV6B,1560,55,75,09/05 → 03/10
1.6 HDi 90 (M59),DV6ATED4,1560,66,90,07/05 → 03/10
1.8 D (M49),A9A (XUD7),1769,43,59,10/96 → 12/02
1.8 D (M49),DW8,1769,51,70,08/98 → 12/02
1.8i (M49),LFX (XU7JB),1761,66,90,12/97 → 12/02
1.9 D (M49),DJY (XUD9A),1905,51,70,10/96 → 07/98
"1.9 D (M49, M59)",WJY/WJZ (DW8/DW8B),1868,51,70,07/98 → 10/05
1.9 D,DW8B,,51,70,11/02 →
2.0 HDi,DW10TD,,66,90,11/02 →
"2.0 HDi 90 (M49, M59)",RHY (DW10TD),1997,66,90,02/99 → 10/05
"Electrique (M49, M59)",Electrique,,155,20,01/00 → 03/10
